"Naxi Radio - Shoping","http://naxidigital48.kbcnet.rs:8025/","Pop","Serbia",""
"Naxi Radio - Simple","http://naxi128.streaming.rs:9150","Dance","Serbia",""
"Nova FM","http://82.79.198.197:8000","Top 40","Romania","Favorite"
"NRK Klassisk - Norge","http://lyd.nrk.no:80/nrk_radio_klassisk_mp3_h","Classic","Norge",""
"NRK P1 - Norge","http://lyd.nrk.no:80/nrk_radio_p1_ostlandssendingen_mp3_h","News","Norge",""
"NRK P3 - Norge","http://lyd.nrk.no:80/nrk_radio_p3_mp3_h","Pop","Norge",""
"Ö2 Radio Wien","http://mp3stream2.apasf.apa.at:8000/","Pop","Slovakia",""
"One FM","http://80.86.106.35:8000/","Dance","Romania",""
"ORF Hitradio Ö3","http://mp3stream7.apasf.apa.at:8000/","Hit","Slovakia",""
"Paprika Rádió","http://94.176.163.39:9090/","Top 40","Hungary",""
"Pink Radio","http://pink.exyustream.com:80","Etno","Serbia",""
"PolskaStacja Jazz","http://188.165.20.29:8750","Jazz","Poland",""
"Power Hit Radio","http://213.142.213.41:91/","Top 40","Russia",""
"Qfm 94.3","http://s1.viastreaming.net:7420/","Jazz","Spain",""
"Radio 047","http://109.123.116.114:7054","Hit","Croatia",""
"Radio 057","http://streaming.zadar.net:8000/radio057","Hit","Croatia",""
"Radio 105","http://radio105.makbots.com:21010/","Pop","Macedonia",""
"Radio 202","http://rts.ipradio.rs:8006","Pop","Serbia",""
"Radio 538 Nederland","http://82.201.100.9:8000/radio538","Dance","Netherlands",""
"Radio AS - 32kbps","http://radioas.kbcnet.rs:8000","Dance","Serbia",""
"Radio AS - 64kbps","http://radioas.kbcnet.rs:8015","Dance","Serbia",""
"Radio AS Suceava","http://radioas.suceava.rdsnet.ro:8000/sample128","News","Romania",""
"Radio Beograd 1","http://rts.ipradio.rs:8002","News","Serbia",""
"Radio Beograd 2 i 3","http://rts.ipradio.rs:8004","News","Serbia",""
"Radio BIT","http://62.122.188.105:80/","Top 40","Russia",""
"Radio Campus","http://85.120.40.106:8004/","Regional service","Romania",""
"Radio Campus","http://164.15.20.12:8000/stream.mp3","Hit","Belgium",""
"Radio DAK","http://85.25.73.243:10150/","Folk","Serbia",""
"Radio Dalmacija","http://shoutcast.pondi.hr:8000/","Regional service","Croatia",""
"Radio Decibel Nederland","http://83.98.170.80:8070/","Hit","Amsterdam",""
"Radio F","http://66.90.118.18:8054/","News","Portugal",""
"Radio FG Classics","http://fgv.impek.com:80","Techno","France",""
"Radio FG Underground","http://ufg.impek.com:80","Techno","France",""
"Radio FG [France]","http://fg.impek.com:80","Techno","France",""
"Radio Fir","http://live.radiofir.ro:8000/","Regional service","Romania",""
"Radio France Internationale","http://95.81.147.3/rfimonde/all/rfimonde-64k.mp3","News","France",""
"Radio Fresh! - България","http://193.108.24.21:8000/fresh_low","Dance","България",""
"Radio Gold","http://82.201.100.9:8000/Radio10Gold","Pop","Netherlands",""
"Radio Ilok","http://94.76.208.7:8078/","Regional service","Croatia",""
"Radio Impuls","http://live.radio-impuls.ro:80/","Top 40","Romania",""
"Radio Ludbreg","http://pa-hosting.de:23573/","Pop","Croatia",""
"Radio Metro [32Kbps]","http://195.182.132.18:8240/","Top 40","Russia",""
"Radio Metro [96 Kbps]","http://195.182.132.18:8230/","Top 40","Russia",""
"Radio Nostalgija","http://media017.net:8026","Folk","Serbia",""
"Radio Oro 94.4 FM","http://92.48.107.35:8004/","Oldies","Spain",""
"Radio Oro 95.2 FM","http://92.48.107.35:8002/","Oldies","Spain",""
"Radio Ribatejo","http://66.90.118.18:8116/","Pop","Portugal",""
"Rádio São Vicente","http://radio.miradouro.pt:8000/","Regional service","Portugal",""
"Radio Student","http://161.53.122.184:8000/AAC128.aac","Rock","Croatia",""
"Radio Unique","http://audiostreamen.nl:8018/","Alternative","Netherlands",""
"Radio Zet Classic","http://zetclassic-02.eurozet.pl:8100/","Classic","Poland",""
"RADIONL - Nederland","http://178.19.127.3","Dance","Netherlands",""
"Recorder Radio","http://rs3.stream24.org:8220/","Classic","Germany",""
"Riviera Radio - Live from Monaco","http://icy-e-01.sharp-stream.com:80/riviera.mp3","Hit","Monaco",""
"RMN Dancechannel","http://212.48.110.70:8030/","Dance","Germany",""
"Rock FM","http://91.132.6.21:8003/","Rock","Greece",""
"RTL Radio - Luxemburg","http://81.92.237.118:80/","Hit","Luxemburg",""
"Sagres FM","http://www.sagresfm.pt:8002/","Top 40","Portugal",""
"Sky Radio","http://89.205.123.70:8002/","Pop","Macedonia",""
"Slovenský rozhlas - Rádio Devín","http://live.slovakradio.sk:8000/Devin_128.mp3","News","Slovakia",""
"Slovenský rozhlas - Rádio Slovensko","http://live.slovakradio.sk:8000/Slovensko_128.mp3","News","Slovakia",""
"Smoothjazz.com.pl [128 Kbps]","http://94.23.95.213:8032/","Jazz","Poland",""
"Smoothjazz.com.pl [48 Kbps]","http://94.23.95.213:8028/","Jazz","Poland",""
"Sportsko Radio","http://217.16.69.10:8020/","Sport","Macedonia",""
"SRR Bucureşti FM","http://stream2.srr.ro:8030/","Regional service","Romania",""
"SRR Radio România Actualităţi","http://stream2.srr.ro:8000/","News","Romania",""
"SRR Radio România Antena Satelor","http://stream2.srr.ro:8040/","Folk","Romania",""
"SRR Radio România Muzical","http://stream2.srr.ro:8020/","Classic","Romania",""
"Sveriges Radio SR Klassiskt [32kbps]","http://http-live.sr.se/srklassiskt-aac-32","Classic","Sweden",""
"Sveriges Radio SR Klassiskt [96kbps]","http://http-live.sr.se/srklassiskt-aac-96","Classic","Sweden",""
"TDI Radio","http://streaming.tdiradio.com:9000","Dance","Serbia","Favorite"
"TOP FM - 128kbps","http://109.206.96.12:8000","Dance","Serbia",""
"TOP FM - 64kbps","http://109.206.96.11:8000","Dance","Serbia",""
"Total FM","http://www.totalfm.pt:8000/","Top 40","Portugal",""
"Venice Classic Radio","http://109.123.116.202:8020","Classic","Italy",""
"Viva FM","http://shout.streamwithq.gr:4164","Dance","Greece",""
"WDET [Michigan]","http://141.217.119.35:8000/","News","US",""
"WFMT [Illinois]","http://wttw.ic.llnwd.net/stream/wttw_wfmt_livebroadcast","Classic","US",""
"WFMU [New Jersey]","http://stream0.wfmu.org/freeform-128k","Freeform","US",""
"WFUV [New York]","http://wfuv-onair.streamguys.org:80/onair-aacplus","Electric","US",""
"WKCP - Classical South Florida","http://csfstream1.publicradio.org:80/","Classic","US",""
"WKCR [New York]","http://kanga.college.columbia.edu:8000/","Jazz","US",""
"WKSU-HD2 - Folk Alley [Ohio]","http://wksu1.streamguys.com:80/","Folk","US",""
"WKSU-HD3 [Ohio]","http://66.225.205.8:8030/","Classic","US",""
"Xanthi FM","http://xanthifm100.no-ip.info:8008/","News","Greece",""
"Yes! 91.2","http://46.4.65.194:8039/","Top 40","Greece",""
"Zakarpattya FM","http://195.234.148.51:8000/","Pop","Україна",""
"Zhytomyr Wave","http://pit-bull.biz:8018/","Regional service","Україна",""
"Zone Radio","http://85.25.164.47:80","Pop","Africa",""
"Ράδιο Άστυ 90.6 FM Αθήνα","http://shoutcast.24radio.gr:8072/","Hit","Greece",""
"Στυλ FM 104.8 Αθήνα","http://s3.onweb.gr:8530/","Etno","Greece",""
"Македонско Радио - Радио Скопје","http://217.115.140.23:8001/mkradio","Etno","Macedonia",""
"Радио 1 Рок - България","http://62.204.145.218:8000/radio1rock64","Rock","България",""
"Радио Energy България","http://62.204.145.218:8000/nrj64","Sport","България",""
"Радио Nova - София 101.7","http://62.204.145.218:8000/nova64","Dance","България",""
"Радіо Шарманка - Україна","http://217.20.164.163:8006/","Dance","Україна",""
"Rom Radio","http://www.romradio.rs:8012/","Etno","Serbia",""
"Kiss Rom Radio 24kbps","http://24.romskiradio.net:9420/","Etno","Serbia",""
"Kiss Rom Radio","http://64.romskiradio.net:9410/","Etno","Serbia",""
"Yu Planet Radio","http://81.19.152.121:8001","Etno","Serbia",""
"FM4","http://194.232.200.150:8000","Techno","Unknown",""
"RADIO GAIA","http://173.193.32.153:8090","Alternative","Unknown",""
"CALMRADIO.COM - HEALING - Sampler","http://173.192.225.172:9308","Alternative","Unknown",""
"CALMRADIO.COM - SOLO GUITAR - Sampler","http://173.192.225.172:9508","Alternative","Unknown",""
"GotRadio - Guitar Genius","http://173.244.215.162:8020","Alternative","Unknown",""
"Underground Eighties: UK Synthop and a bit of New Wave.","http://38.104.130.91:8884","Alternative","Unknown",""
"CALMRADIO.COM - SLEEP - Sampler","http://173.192.225.172:8600","Alternative","Unknown",""
"Vox Noctem - Die Stimme der Nacht","http://178.33.32.10:8800","Alternative","Unknown",""
"GotRadio - New Age Nuance","http://206.217.213.235:8040","Alternative","Unknown",""
"KLUX 89.5HD - Good Company","http://67.228.150.184:7610","Easy Listening","Unknown",""
"Psychedelik.com 192kbits","http://88.191.143.89:8002","Ambient","Unknown",""
"1Dance.FM - Today's Dance Hits","http://173.192.207.51:8062","Dance","Unknown",""
"IbizaSonica Electric","http://159.253.145.178:7005","Electric","Unknown",""
"Chillout Dreams","http://72.26.204.28:6334","Easy Listening","Unknown",""
"PULS FM - Pure Dance Radio!","http://87.230.82.41:80","Dance","Unknown",""
"Classic Trance","http://72.26.204.28:6364","Techno","Unknown",""
"Zonemix","http://87.98.215.41:9088","Techno","Unknown",""
"MixNation - The Rhythm Station!","http://80.237.152.81:80","Techno","Unknown",""
"ElectricFM.com- America's Real Dance!","http://72.13.83.151:80","Dance","US",""
"BLUE MARLIN IBIZA","http://159.253.145.177:8635","Easy Listening","Unknown",""
"IbizaSonica House","http://159.253.145.177:8136","House","Unknown",""
"ByblosRadio.com","http://72.13.86.83:8356","Freeform","Turkey",""
"Radio Decibel (The Original) Amsterdam","http://195.242.153.122:8062","Hit","Amsterdam",""
"Chill Out Zone","http://85.17.121.77:7000","Freeform","Unknown",""
"COOL radio","http://213.239.205.210:6020","Folk","Serbia",""
"TheJazzGroove.com","http://204.77.222.2:8015","Jazz","Unknown",""
"THEME RADIO","http://91.121.105.180:9300","Pop","Unknown",""
"POLSKASTACJA","http://94.23.220.75:5500","Blues","Poland",""
"City Sounds Radio Blues","http://174.36.235.131:10210","Blues","Unknown",""
"FM - BLUES RADIO","http://205.164.41.18:7040","Blues","Unknown",""
"GotRadio - Bit O Blues","http://206.217.213.236:8500","Blues","Unknown",""
"AddictedToRadio.com - Blues Classics AAC","http://208.77.21.15:11630","Blues","Unknown",""
"Super Blues Radio.Com","http://184.154.151.202:8036","Blues","Unknown",""
"Big Blue Swing.com-64Kbit","http://209.236.126.18:8002","Blues","Unknown",""
"Charlietown Blues-all about the blues","http://67.213.213.137:8078","Blues","Unknown",""
"Kansas City Online Radio","http://208.53.158.48:9148","Blues","Unknown",""
"Blues Connection","http://199.101.51.168:8004","Blues","Unknown",""
"New Orleans Radio","http://65.49.39.138:8002","Blues","US","Favorite"
"Blues Radio UK","http://206.217.213.16:8430","Blues","Unknown",""
"CALMRADIO.COM - BLUES - Sampler","http://173.192.225.172:10508","Blues","Unknown",""
"Humanitarni Radio","http://media017.info:8006/","Folk","Serbia",""
"Pigpen radio","http://uk2.internet-radio.com:30884/","Freeform","UK",""
"Groove FM","http://stream.groovefm.de:10028/","Jazz","Germany",""
"Lemixx","http://lemixxserver1.mine.nu:8004/","Dance","Unknown",""
"Funky express","http://funky01.funkyexpress.com.br:8024/","Freeform","Unknown",""
"Smooth Groovers","http://s5.voscast.com:7866/","Soul Jazz","Unknown",""
"Absolute Radio 80s (Modem)","http://icecast.timlradio.co.uk/a832.ogg","50's - 90's","UK",""
"Absolute Radio 90s (Modem)","http://icecast.timlradio.co.uk/a932.ogg","50's - 90's","UK",""
"Absolute Radio 90s (Broadband)","http://icecast.timlradio.co.uk/a7160.ogg","50's - 90's","UK",""
"Absolute Classic Rock (Broadband)","http://icecast.timlradio.co.uk/vc160.ogg","Rock","UK",""
"Absolute Classic Rock (Modem)","http://icecast.timlradio.co.uk/vc32.ogg","Rock","UK",""
"Absolute Radio 80s (Broadband)","http://icecast.timlradio.co.uk/a8160.ogg","50's - 90's","UK",""
"Radio Paradise (High Quality)","http://stream-tx1.radioparadise.com:9000/rp_192.ogg","Electric","Unknown",""
"Radio Paradise (Low Quality)","http://stream-sd.radioparadise.com:9000/rp_96.ogg","Electric","Unknown",""
"Absolute Radio (Broadband)","http://icecast.timlradio.co.uk/vr160.ogg","Pop","UK",""
"Absolute Radio (Modem)","http://icecast.timlradio.co.uk/vr32.ogg","Pop","UK",""
"Radio S","http://sh1.beotel.net:8002/","Pop","Serbia","Favorite"
"Radio Čaršija Sarajevo","http://carsija.topstream.net:19406/","Folk","Bosna i Hercegovina",""
"Radio Bar","http://radiobar.me:9000/","Pop","Monte Negro",""
"Play FM Radio","http://live.playfm.mk:8000/","Pop","Macedonia",""
"Експрес Радио","http://ekspresradio.dyndns.org:8000/","Pop","Macedonia",""
"Classic Hits 4FM","http://4fm64.media.vistatec.ie:80/","Etno","Ireland",""
"HighLand","http://streaming.pollenzone.com:8000/","Dance","Ireland","Favorite"
"East Coast FM","http://dream.wavestreamer.com:7039/Live","Pop","Ireland",""
"Radio Nova","http://radionova128.media.vistatec.ie:80/","Rock","Ireland",""
"Live Ireland Channel 1","http://66.90.73.250:8000","Etno","Ireland",""
"NewsTalk 106-108","http://newstalk.fmstreams.com:8080/","News","Ireland",""
"Live Ireland Channel 2","http://66.90.73.250:8480","Etno","Ireland",""
"Kanal 103","http://radiostream.neotel.mk/kanal103","Freeform","Macedonia",""
"KCEA music and memories","http://69.12.217.101:8000/","Jazz","US",""
"KEXP-FM (90.3 FM) [Seattle Washington]","http://kexp-mp3-2.cac.washington.edu:8000/","Alternative","US",""
"NOFM 2 ArtSync","http://gal.bitsyu.net:8002/","Freeform","Serbia",""
"Life Radio","http://217.16.69.17:8000/liveradio.mp3","Rock","Macedonia",""
"SomaFM: Groove Salad 2","http://sfstream1.somafm.com:8032","Downtempo","US",""
"SomaFM: Groove Salad 3","http://ice.somafm.com/groovesalad","Downtempo","US",""
"181.FM - Classic Hits --- Home of The 60s and 70s ","http://uplink.duplexfx.com:8900/","50's - 90's","Unknown",""
"Radio Bop ","http://208.53.158.48:8414/","50's - 90's","Unknown",""
"Flower Power Radio - Far Out And Groovy Tunes From The 50s 60s & 70s ","http://ams02.egihosting.com:5050/","50's - 90's","Unknown",""
"All 60s All The Time ","http://69.4.238.127:80/","50's - 90's","Unknown",""
"Radio Bop 60s ","http://208.53.158.48:8410/","50's - 90's","Unknown",""
"Radio Melodie - Volksmusik mit Herz - Radiomelodie ","http://212.48.110.70:8020/","50's - 90's","Unknown",""
"Anfieldfm","http://uk3.internet-radio.com:10633/autodj","Indie","UK",""
"Undertow Radio (Music Supplied By The "Free Music Archive") ","http://uk3.internet-radio.com:10947/","Indie","Unknown",""
"SomaFM presents Indie Pop Rocks! SomaFM","http://voxsc1.somafm.com:8090/","Indie","Unknown",""
"New Normal Music","http://music.newnormalmusic.com:80/","Indie","Unknown",""
"Radioneo","http://stream.radioneo.org:8000/","Indie","Unknown",""
"Dubthugz Radio ","http://uk1.internet-radio.com:15634/","Dubstep","Unknown",""
"Massive Dubstep","http://s5.voscast.com:7938/","Dubstep","Unknown",""
"Miami Global Radio","http://miamiglobalradio.com:8100/","Dubstep","Unknown",""
"Dubstep 247","http://s4.radiohost.pl:8154/","Dubstep","Unknown",""
"Defiant Radio Dubstep DnB and Jungle Hardcore","http://uk1-vn.mixstream.net:9862/","Dubstep","Unknown",""
"The Zone - Modern Rock Radio Mp3","http://uk1.internet-radio.com:15763/","Rock","Germany",""
"Rallyfm.Net","http://uk1.internet-radio.com:15697/live","Rock","Unknown",""
"Rock & Pop alsterradio","http://live96.106acht.de:80/","Rock","Unknown",""
"Futura 911 FM","http://colombiawebs.info:7916/","Rock","Unknown",""
"COOLfahrenheit 93","http://203.150.224.142:8003/","Easy Listening","Unknown",""
"Heartbeatz.FM 100% Pure Romance","http://heartbeatz.fm:8008/","Easy Listening","Unknown",""
"Muzika iz Srbije - Radio Glagoljica","http://208.87.25.4:7777/","Music for children","Serbia",""
"Muzika iz Srbije - Radio Latinica","http://208.87.25.4:8002/","Pop","Serbia",""
"Beograd Online - Zabavna muzika","http://178.32.57.58:8119","Pop","Serbia",""
"Radio Fantasy Slovenija - ROX","http://shoutcast.netsi.net:8230/","Pop","Slovenia",""
"Vladix","http://46.4.76.142:2011/","Pop","Bosna i Hercegovina",""
"Max FM","http://85.25.73.243:9840/","Hit","Serbia",""
"Banker","http://85.17.122.1:8000/radio","Pop","Serbia",""
"Trstenik","http://64.15.131.172:8040/","Pop","Serbia",""
"Naxi Love [128]","http://naxidigital128.kbcnet.rs:8100/","Oldies","Serbia",""
"Naxi Love [48]","http://naxidigital48.kbcnet.rs:8105/","Oldies","Serbia",""
"TDI Radio - House","http://streaming.tdiradio.com:9222/","House","Serbia",""
"TDI Radio - Classic 80-90s","http://streaming.tdiradio.com:9111/","50's - 90's","Serbia",""
"IMPULS","http://impulsradio.hallsys.net:8010/","Pop","Serbia",""
"Dunav","http://94.127.2.132:8000/radio","Pop","Serbia",""
"Desetka - ExYu [64k]","http://desetka.exyustream.com/","Pop","Serbia",""
"Balkan Hip-Hop","http://78.47.207.61:8002/","Hip-Hop","Serbia",""
"Ada","http://46.4.141.158:9010/","Pop","Serbia",""
"Radio Center - 80s","http://shoutcast.netsi.net:8400/","Pop","Serbia",""
"216","http://live.radio216.com:8051/","Pop","Serbia",""
"Top3","http://109.123.116.114:7032","Pop","Serbia",""
"Radio Regije","http://87.229.24.114:8720/","Pop","Serbia",""
"Novosti","http://novostir.kbcnet.rs:443","News","Serbia",""
"Yugotopija","http://stream.laut.fm:80/yugotopia-beat-club","Rock","Serbia",""
"Радио Пайнер","http://87.120.6.86:8000/hq","Folk","Bulgarian",""
"Радио Вероника","http://80.72.68.217/veronika.ogg","Folk","Bulgarian",""
"Дарик радио София","http://188.126.1.25:8000/darik","News","Bulgarian",""
"Радио Фокус София","http://online.focus-radio.net:8100/sofia","News","Bulgarian",""
"Радио 1","http://80.72.68.217/radio1.ogg","50's - 90's","Bulgarian",""
"БГ Радио","http://80.72.68.217/bgradio.ogg","Pop","Bulgarian",""
"FM+","http://pulsar.atlantis.bg:8000/fmplus.ogg","Pop","Bulgarian","Favorite"
"N-Joy - България","http://live.btvradio.bg:8000/njoy.mp3","Top 40","Bulgarian",""
"HR1","http://5243.live.streamtheworld.com:80/PROGRAM1AAC_SC","News","Croatia",""
"HR2","http://4123.live.streamtheworld.com:80/PROGRAM2AAC_SC","Pop","Croatia",""
"HR3","http://4613.live.streamtheworld.com:80/PROGRAM3AAC_SC","Classic","Croatia",""
"HR Radio Osijek","http://4003.live.streamtheworld.com:80/OSIJEKAAC_SC","Regional service","Croatia",""
"HR Radio Pula","http://5243.live.streamtheworld.com:80/PULAAAC_SC","Regional service","Croatia",""
"HR Radio Rijeka","http://5293.live.streamtheworld.com:80/RIJEKAAAC_SC","Regional service","Croatia",""
"HR Radio Split","http://4123.live.streamtheworld.com:80/SPLITAAC_SC","Regional service","Croatia",""
"HR Radio Sljeme","http://5293.live.streamtheworld.com:80/SLJEMEAAC_SC","Regional service","Croatia",""
"HR Radio Cakovec","http://88.198.9.11:7000","Regional service","Croatia",""
"HR Radio Dubrovnik","http://4003.live.streamtheworld.com:80/DUBROVNIKAAC_SC","Regional service","Croatia",""
"HR Radio Knin","http://5293.live.streamtheworld.com:80/KNINAAC_SC","Regional service","Croatia",""
"HR Radio Zadar","http://5243.live.streamtheworld.com:80/ZADARAAC_SC","Regional service","Croatia",""
"Domaći Radio","http://access8.streamsink.com:8600/","Etno","Croatia",""
"Box Uk Danceradiouk.Com","http://uk2.internet-radio.com:31076/","Rock","UK",""
"Anfieldfm","http://uk3.internet-radio.com:10633/autodj","Rock","Unknown",""
"NOISEfm.pl - Niezalezne Radio Rock !","http://stream01.noisefm.pl:8000/","Rock","Poland",""
"Rock FM Romania - Classic Rock","http://80.86.106.35:800/","Rock","Unknown",""
"You are listening to Classic Rock 915","http://117.53.175.113:15018/","Rock","Unknown",""
"ROCKRADIO.COM - 80's Rock","http://pub2.rockradio.com:80/rr_80srock","Rock","Unknown",""
"ROCKRADIO.COM - 90's Rock","http://pub3.rockradio.com:80/rr_90srock","Rock","Unknown",""
"ROCKRADIO.COM - Classic Hard Rock","http://pub1.rockradio.com:80/rr_classichardrock","Rock","Unknown",""
"ROCKRADIO.COM - Classic Metal","http://pub3.rockradio.com:80/rr_classicmetal","Rock","Unknown",""
"ROCKRADIO.COM - Classic Rock","http://pub3.rockradio.com:80/rr_classicrock","Rock","Unknown",""
"ROCKRADIO.COM - Modern Rock","http://pub2.rockradio.com:80/rr_modernrock","Rock","Unknown",""
"ROCKRADIO.COM - 60's Rock","http://pub4.rockradio.com:80/rr_60srock","Rock","Unknown",""
"ROCKRADIO.COM - 80's Alternative","http://pub2.rockradio.com:80/rr_alternative80s","Rock","Unknown",""
"ROCKRADIO.COM - 90's Alternative","http://pub4.rockradio.com:80/rr_alternative90s","Rock","Unknown",""
"ROCKRADIO.COM - Beatles Tribute","http://pub2.rockradio.com:80/rr_beatlestribute","Rock","Unknown",""
"ROCKRADIO.COM - Blues Rock","http://72.26.204.28:9744/","Rock","Unknown",""
"ROCKRADIO.COM - Hair Bands","http://pub2.rockradio.com:80/rr_hairbands","Rock","Unknown",""
"ROCKRADIO.COM - Hard Rock","http://pub3.rockradio.com:80/rr_hardrock","Rock","Unknown",""
"ROCKRADIO.COM - Indie Rock","http://pub2.rockradio.com:80/rr_indierock","Rock","Unknown",""
"ROCKRADIO.COM - Jam Bands","http://pub2.rockradio.com:80/rr_jambands","Rock","Unknown",""
"ROCKRADIO.COM - Pop Punk","http://pub7.rockradio.com:80/rr_poppunk","Rock","Unknown",""
"ROCKRADIO.COM - Pop Rock","http://pub2.rockradio.com:80/rr_poprock","Rock","Unknown","Favorite"
